,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
29,Main01152,47.58762,7.59178,4136,141.9,169.7,-218.0,53.5,-13.3,2.9,145.1,-6.9,3.8,261.9,-74.9,6.0,6,6,CL052,DG,,------,2006-12-03 14:36:18,0.8
30,Main01169,47.58744,7.593210000000001,4255,-34.3,149.9,-99.0,58.0,-10.0,2.8,149.2,-7.1,3.9,273.9,-77.7,6.2,6,6,CL107,DG,,------,2006-12-03 15:17:01,1.0
31,Main01182,47.585570000000004,7.59363,4415,-2.3,-57.9,61.0,55.7,-5.6,2.7,327.7,20.0,4.1,310.7,-69.2,5.8,6,6,CL007b,DG,,------,2006-12-03 15:36:05,1.2
32,Main01191,47.585609999999996,7.594189999999999,4261,39.8,-53.4,-93.0,59.7,-8.8,2.7,325.7,-23.8,4.5,168.6,-64.4,5.5,6,6,CL119,DG,,------,2006-12-03 15:46:49,0.7
33,Main01214,47.585679999999996,7.59373,4367,5.2,-45.7,13.0,43.8,5.2,3.2,312.3,15.7,4.6,331.4,-73.4,6.4,6,6,CL225,DG,,------,2006-12-03 16:18:53,0.7
34,Main01224,47.58559,7.59417,4256,38.3,-55.6,-98.0,60.6,-9.5,2.7,324.5,-32.5,4.5,164.9,-55.8,5.8,6,6,CL119,DG,,------,2006-12-03 16:38:37,0.8
35,Main01225,47.58597,7.59369,4420,2.1,-13.5,66.0,47.5,-8.2,2.8,138.4,-6.2,4.1,264.8,-79.7,5.7,5,6,CL062a,DG,,------,2006-12-03 16:39:51,1.1
36,Main01232,47.586220000000004,7.59305,4296,-46.1,14.2,-58.0,28.3,14.4,17.0,154.3,-46.9,35.7,306.1,-39.5,45.4,49,39,CL066,DD,,------,2006-12-03 16:49:31,1.1
37,Main01246,47.58628,7.593089999999999,4343,-43.1,20.9,-11.0,48.0,-7.3,3.4,137.4,4.1,5.8,198.4,-81.6,10.7,5,6,CL158,DG,,------,2006-12-03 17:07:18,0.7
38,Main01249,47.58635,7.59362,4394,-3.2,28.8,40.0,4.6,11.0,13.2,119.5,-23.3,17.4,271.1,-63.9,23.2,49,51,CL281,DD,1.1,SED004,2006-12-03 17:15:11,1.4
39,Main01257,47.58595,7.59387,4453,15.7,-15.7,99.0,235.2,10.9,2.7,148.6,-17.2,4.5,294.4,-69.5,7.3,5,5,CL358,DG,,------,2006-12-03 17:27:31,0.8
40,Main01270,47.58648,7.59231,4409,101.8,43.0,55.0,51.2,-12.2,2.8,142.7,-6.8,3.9,261.4,-76.0,6.0,6,6,CL008,DG,,------,2006-12-03 17:57:42,0.6
41,Main01273,47.58559,7.594180000000001,4259,39.1,-55.6,-95.0,240.9,8.1,2.8,147.8,21.0,4.9,350.8,67.4,5.8,6,6,CL119,DG,,------,2006-12-03 18:03:09,0.8
